,vx,vy,heading,x,y,ax,ay
123,0.0,0.0,-13.3125301824742,5.238522,-4.866096,0.010265727,0.00973208
124,0.23114689,0.06301788,-16.25000000000002,5.469669,-4.803078,0.15269695,0.059018865
125,0.44269216,0.1833691,-23.500000000000032,5.912361,-4.619709,0.20889072,0.11925168
126,0.6240176,0.3566555,-30.749999999999982,6.536379,-4.2630534,0.17888434,0.17175195
127,0.7653588,0.57673925,-37.99999999999999,7.301738,-3.686314,0.07070778,0.24750334
128,0.5841821,0.95329875,-59.50000000000003,7.88592,-2.7330153,-0.14582765,0.31956726
129,0.22188373,1.258365,-81.00000000000001,8.107803,-1.4746503,-0.22099805,0.48830444
130,0.24366497,2.2248907,-84.74999999999999,8.351468,0.75024045,-0.10571983,0.80219823
131,0.13952155,3.195566,-88.5,8.49099,3.9458065,-0.104188904,0.9675867
132,-0.09072846,4.1580367,-92.25000000000003,8.400261,8.103844,-0.23002602,0.9593856
133,-0.4461891,5.099962,-96.00000000000001,7.954072,13.203806,-0.2736353,1.1498368
134,-0.599559,6.8529873,-96.00000000000001,7.354513,20.056793,-0.2038926,1.5502504
135,-0.752929,8.606013,-96.00000000000001,6.6015844,28.662807,-0.08860789,1.4772902
136,-0.6472507,9.256097,-95.0,5.954334,37.918903,0.046535254,0.9255047
137,-0.51909626,9.9049225,-94.00000000000001,5.4352374,47.823826,0.12815079,0.6486771
138,-0.36848027,10.551896,-93.00000000000003,5.066757,58.37572,0.13618243,0.56665754
139,-0.25313702,10.875753,-92.33333333333331,4.81362,69.25147,0.12603362,0.40431166
140,-0.13030504,11.198312,-91.66666666666671,4.6833153,80.44978,0.12282788,0.32252574
141,-7.352798e-07,11.519441,-91.0,4.6833143,91.96922,0.09586016,0.18773198
142,-7.0771466e-07,11.3055525,-91.0,4.683314,103.27477,0.03257609,-0.08013415
143,-7.099496e-07,11.091663,-91.0,4.6833134,114.36644,1.2664557e-08,-0.21388888
144,-6.8238666e-07,10.877774,-91.0,4.683313,125.24422,0.015200194,-0.26717424
145,0.060800042,10.450745,-90.66666666666667,4.744113,135.69496,0.04435811,-0.37382555
146,0.116631,10.023391,-90.33333333333334,4.860744,145.71835,0.055831444,-0.4273429
147,0.16749413,9.595757,-90.00000000000001,5.0282383,155.31412,0.046520777,-0.6141472
148,0.19602002,8.42179,-89.66666666666669,5.2242584,163.7359,0.030696426,-0.9873756
149,0.21089081,7.2478547,-89.3333333333333,5.435149,170.98375,0.014871955,-1.1739047
150,0.21211116,6.0740733,-89.00000000000003,5.64726,177.05782,0.21734986,-1.1472268
151,1.0641991,5.0066643,-78.99999999999999,6.711459,182.06448,0.54982066,-1.1147168
152,1.5580856,3.8563967,-69.0,8.269545,185.92088,0.49437913,-1.1276469
153,1.6957412,2.7137532,-59.00000000000001,9.965286,188.63464,0.5952063,-0.86345065
154,3.3073688,2.6955051,-40.18002595669283,13.2726555,191.33015,1.2827488,-0.560625
155,5.077453,1.6321447,-18.81997404330718,18.35011,192.9623,1.6183417,-0.9722023
156,6.3990235,-0.111695364,0.0,24.749132,192.8506,1.4763974,-1.1442724
157,7.891388,-0.13774468,0.0,32.64052,192.71286,1.449666,-0.45549703
158,9.383753,-0.16379401,0.0,42.02427,192.54907,1.4923648,-0.026049323
159,10.876118,-0.18984333,0.0,52.900387,192.35922,1.3060508,-0.022797197
160,11.623226,-0.20288415,0.0,64.52361,192.15634,0.9334223,-0.016292948
161,12.370334,-0.21592498,0.0,76.89394,191.94041,0.74710774,-0.013040818
162,13.117441,-0.22896577,0.0,90.01138,191.71144,0.5872266,0.008988854
163,13.225025,-0.15388794,-0.33332957252898093,103.236404,191.55756,0.26735687,0.053359848
164,13.332177,-0.07756342,-0.6666704274710218,116.56858,191.48,0.10714865,0.07632257
165,13.438884,-3.1170106e-09,-1.000000000000003,130.00746,191.48,0.080141306,0.05786284
166,13.438884,-3.1170106e-09,-1.000000000000003,143.44635,191.48,0.026676655,0.019390855
167,13.438884,-3.1170106e-09,-1.000000000000003,156.88524,191.48,0.0,0.0
168,13.438884,-3.1170106e-09,-1.000000000000003,170.32413,191.48,-0.10671282,2.3468338e-11
169,13.0120325,-3.0231373e-09,-1.000000000000003,183.33617,191.48,-0.3201387,5.060925e-10
170,12.58518,-1.186514e-09,-1.000000000000003,195.92134,191.48,-0.426852,1.4009358e-09
171,12.158328,6.501093e-10,-1.000000000000003,208.07967,191.48,-0.45347214,2.4189961e-09
172,11.624996,4.816224e-09,-1.000000000000003,219.70467,191.48,-0.5067122,2.9413894e-10
173,11.091663,-4.176073e-09,-1.000000000000003,230.79633,191.48,-0.53333306,-1.5417161e-09
174,10.558329,3.4755416e-09,-1.000000000000003,241.35466,191.48,-0.6667075,-0.013804821
175,9.491501,-0.05521929,-0.6666704274710218,250.84616,191.42477,-0.933516,-0.038311727
176,8.424427,-0.09802762,-0.33332957252898093,259.2706,191.32675,-1.0670481,-0.042807225
177,7.35721,-0.12842058,0.0,266.6278,191.19833,-1.1069273,-0.020547703
178,6.1310086,-0.107017145,0.0,272.75882,191.09132,-1.1864555,0.008454334
179,4.9048066,-0.08561371,0.0,277.66364,191.0057,-1.2262018,0.02140343
180,3.678605,-0.06421029,0.0,281.34225,190.9415,-1.2262018,0.021403428
181,2.4524033,-0.042806856,0.0,283.79465,190.8987,-1.2262017,0.021403428
182,1.2262017,-0.021403428,0.0,285.02084,190.87729,-1.2262017,0.021403428
183,0.0,0.0,0.0,285.02084,190.87729,-0.91965127,0.01605257
184,0.0,0.0,0.0,285.02084,190.87729,-0.3065504,0.005350857
185,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
186,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
187,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
188,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
189,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
190,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
191,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
192,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
193,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
194,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
195,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
196,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
197,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
198,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
199,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
200,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
201,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
202,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
203,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
204,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
205,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
206,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
207,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
208,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
209,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
210,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
211,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
212,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
213,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
214,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
215,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
216,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
217,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
218,0.0,0.0,0.0,285.02084,190.87729,0.0,0.0
219,0.0,0.0,0.0,285.02084,190.87729,0.026616307,-0.00046458934
220,0.10646523,-0.0018583573,0.0,285.12732,190.87543,0.07984892,-0.001393768
221,0.21293046,-0.0037167147,0.0,285.34024,190.8717,0.106465235,-0.0018583573
222,0.3193957,-0.005575072,0.0,285.65964,190.86613,0.61315274,-0.0071347174
223,2.452611,-0.02853887,-0.33332957252898093,288.11224,190.8376,1.6265792,-0.011481881
224,4.586032,-0.026680443,-0.6666704274710218,292.69827,190.81091,2.1333666,0.0018583741
225,6.719442,-1.5585053e-09,-1.000000000000003,299.41772,190.81091,1.8933138,0.0023257202
